    # Step         Domain_Size
         1      2.01972389E+00     -2.50277340E-01      2.49212272E-02      4.81868782E+01      5.25401535E+01
     10000      1.05567007E+01     -2.50053674E-01      4.71942663E-01      5.26224670E+01      1.66491985E+01
     20000      1.15380278E+01     -2.50010073E-01      4.97247517E-01      5.31250114E+01      1.99857426E+01
     30000      1.19416914E+01     -2.50001609E-01      5.04917681E-01      5.69810219E+01      1.43383093E+01
     40000      1.20825958E+01     -2.50000089E-01      5.06808817E-01      5.77934799E+01      1.22691050E+01
     50000      1.23373489E+01     -2.49999583E-01      5.11132419E-01      5.43216286E+01      1.40290270E+01
     60000      1.28401251E+01     -2.49999478E-01      5.15907943E-01      5.40004120E+01      1.38091059E+01
     70000      1.26419754E+01     -2.49999434E-01      5.15930295E-01      5.54094658E+01      1.24294233E+01
     80000      1.26419754E+01     -2.49999508E-01      5.16330123E-01      5.41107941E+01      1.30694733E+01
     90000      1.26811142E+01     -2.49999419E-01      5.16252995E-01      5.50620804E+01      1.33531713E+01
    100000      1.26419754E+01     -2.49999449E-01      5.16818762E-01      5.80058823E+01      1.26488867E+01
    110000      1.26030769E+01     -2.49999449E-01      5.16863763E-01      5.48287354E+01      1.22291756E+01
    120000      1.26419754E+01     -2.49999389E-01      5.16361952E-01      5.67271843E+01      1.23922224E+01
    130000      1.25259943E+01     -2.49999464E-01      5.16928554E-01      5.67334595E+01      1.00832996E+01
    140000      1.26811142E+01     -2.49999553E-01      5.16335905E-01      5.52322426E+01      9.10875225E+00
    150000      1.26811142E+01     -2.49999464E-01      5.16678214E-01      5.37070084E+01      1.04346704E+01
    160000      1.27204971E+01     -2.49999464E-01      5.16502917E-01      1.36528492E+01      1.05692978E+01
    170000      1.28000002E+01     -2.49999478E-01      5.16679823E-01      6.17666588E+01      1.11647930E+01
    180000      1.27601242E+01     -2.49999464E-01      5.16589403E-01      4.99147835E+01      1.12998867E+01
    190000      1.27204971E+01     -2.49999508E-01      5.16781271E-01      5.51768608E+01      1.23941097E+01
    200000      1.28401251E+01     -2.49999598E-01      5.17114103E-01      5.31996269E+01      1.06098537E+01
