    # Step        E_Field           E_PP     E_Coupling        E_Total
   1510000  -4.898360E+01   1.731674E-01   2.333904E-01  -4.857705E+01
   1520000  -4.891821E+01   0.000000E+00   1.575457E-01  -4.876067E+01
   1530000  -4.853128E+01   5.609102E-02   2.558576E-01  -4.821933E+01
   1540000  -4.805878E+01   0.000000E+00   2.734116E-01  -4.778537E+01
   1550000  -4.775654E+01   1.893341E-01   2.898341E-01  -4.727737E+01
   1560000  -4.874464E+01   4.991896E-03   2.078273E-01  -4.853181E+01
   1570000  -4.834365E+01   1.540418E-02   2.218294E-01  -4.810642E+01
   1580000  -4.846487E+01   0.000000E+00   1.988465E-01  -4.826603E+01
   1590000  -4.865649E+01   0.000000E+00   1.758426E-01  -4.848064E+01
   1600000  -4.844225E+01   2.332902E-02   1.777527E-01  -4.824117E+01
   1610000  -4.849222E+01   4.042035E-02   3.154440E-01  -4.813635E+01
   1620000  -4.822071E+01   0.000000E+00   2.056764E-01  -4.801503E+01
   1630000  -4.835051E+01   0.000000E+00   3.430159E-01  -4.800749E+01
   1640000  -4.857141E+01   0.000000E+00   3.271004E-01  -4.824432E+01
   1650000  -4.848457E+01   0.000000E+00   2.701702E-01  -4.821439E+01
   1660000  -4.829774E+01   0.000000E+00   5.223140E-01  -4.777543E+01
   1670000  -4.819708E+01   0.000000E+00   2.359262E-01  -4.796115E+01
   1680000  -4.855316E+01   0.000000E+00   2.192578E-01  -4.833390E+01
   1690000  -4.830544E+01   0.000000E+00   2.886256E-01  -4.801682E+01
   1700000  -4.877996E+01   0.000000E+00   1.670758E-01  -4.861288E+01
   1710000  -4.802314E+01   0.000000E+00   2.404957E-01  -4.778265E+01
   1720000  -4.811936E+01   0.000000E+00   2.743528E-01  -4.784501E+01
   1730000  -4.786255E+01   0.000000E+00   4.598352E-01  -4.740271E+01
   1740000  -4.836906E+01   7.520593E-06   2.360761E-01  -4.813298E+01
   1750000  -4.823554E+01   0.000000E+00   1.702353E-01  -4.806531E+01
   1760000  -4.854076E+01   0.000000E+00   2.117584E-01  -4.832900E+01
   1770000  -4.862971E+01   0.000000E+00   2.133143E-01  -4.841640E+01
   1780000  -4.836194E+01   7.089435E-02   2.783473E-01  -4.801270E+01
   1790000  -4.835653E+01   0.000000E+00   4.360041E-01  -4.792053E+01
   1800000  -4.823518E+01   0.000000E+00   2.900890E-01  -4.794510E+01
   1810000  -4.807835E+01   0.000000E+00   3.308848E-01  -4.774747E+01
   1820000  -4.794104E+01   1.328102E-01   2.552935E-01  -4.755293E+01
   1830000  -4.838253E+01   0.000000E+00   2.874263E-01  -4.809510E+01
   1840000  -4.881839E+01   1.621186E-01   1.867261E-01  -4.846954E+01
   1850000  -4.835212E+01   0.000000E+00   2.017139E-01  -4.815041E+01
   1860000  -4.819026E+01   1.659211E-02   2.484284E-01  -4.792524E+01
   1870000  -4.836002E+01   0.000000E+00   2.095488E-01  -4.815047E+01
   1880000  -4.845695E+01   0.000000E+00   3.099318E-01  -4.814701E+01
   1890000  -4.789093E+01   0.000000E+00   3.269872E-01  -4.756394E+01
   1900000  -4.800740E+01   0.000000E+00   2.223021E-01  -4.778510E+01
   1910000  -4.842913E+01   0.000000E+00   2.440094E-01  -4.818512E+01
   1920000  -4.788239E+01   0.000000E+00   2.265973E-01  -4.765579E+01
   1930000  -4.855116E+01   0.000000E+00   2.125770E-01  -4.833858E+01
   1940000  -4.812399E+01   0.000000E+00   3.613392E-01  -4.776265E+01
   1950000  -4.808579E+01   0.000000E+00   2.601416E-01  -4.782565E+01
   1960000  -4.864201E+01   9.862767E-04   1.879407E-01  -4.845308E+01
   1970000  -4.843341E+01   0.000000E+00   1.982166E-01  -4.823519E+01
   1980000  -4.800809E+01   3.809340E-03   3.613204E-01  -4.764296E+01
   1990000  -4.849607E+01   1.298208E-01   1.849410E-01  -4.818130E+01
   2000000  -4.844651E+01   4.423816E-02   3.852988E-01  -4.801697E+01
   2010000  -4.768327E+01   0.000000E+00   2.585908E-01  -4.742467E+01
   2020000  -4.845343E+01   0.000000E+00   2.962103E-01  -4.815722E+01
   2030000  -4.831474E+01   0.000000E+00   3.535054E-01  -4.796124E+01
   2040000  -4.880095E+01   0.000000E+00   1.525262E-01  -4.864842E+01
   2050000  -4.856432E+01   2.594732E-02   2.792773E-01  -4.825910E+01
   2060000  -4.810712E+01   0.000000E+00   2.910235E-01  -4.781609E+01
   2070000  -4.889337E+01   0.000000E+00   2.838150E-01  -4.860956E+01
   2080000  -4.837440E+01   0.000000E+00   2.744705E-01  -4.809993E+01
   2090000  -4.786523E+01   0.000000E+00   3.101567E-01  -4.755507E+01
   2100000  -4.863128E+01   0.000000E+00   1.765940E-01  -4.845468E+01
   2110000  -4.865832E+01   0.000000E+00   3.237545E-01  -4.833457E+01
